,Artist,Song Title,Year
0,Francis Craig,Near You,1947
1,Harmonicats,Peg O' My Heart,1947
2,Ted Weems,Heartaches,1947
3,Ray Noble and Buddy Clark,Linda,1947
4,Tex Williams,"Smoke, Smoke, Smoke That Cigarette",1947
5,Vaughn Monroe,I Wish I Didn't Love You So,1947
6,Three Suns,Peg O' My Heart,1947
7,Al Jolson,Anniversary Song,1947
8,Larry Green,Near You,1947
9,Sammy Kaye,That's My Desire,1947
10,Vaughn Monroe,Ballerina,1947
11,Art Lund,Mam'selle,1947
12,Freddy Martin,"Managua, Nicaragua",1947
13,Perry Como,Chi-Baba Chi-Baba,1947
14,Red Ingle and Jo Stafford,Temptation (Tim-tayshun),1947
15,Ted Weems and Perry Como,I Wonder Who's Kissing Her Now,1947
16,Andrews Sisters,Near You,1947
17,Sammy Kaye,The Old Lamplighter,1947
18,Perry Como,When You Were Sweet Sixteen,1947
19,Jack Owens,How Soon,1947
20,Arthur Godfrey,Too Fat Polka,1947
21,Eddy Howard,"I Wonder, I Wonder, I Wonder",1947
22,Eddy Howard,My Adobe Hacienda,1947
23,Hoagy Carmichael,Huggin' And Chalkin',1947
24,Hoagy Carmichael,Ole Buttermilk Sky,1947
25,King Cole Trio,I Love You  For Sentimental Reasons,1947
26,Dick Haymes,Mam'selle,1947
27,Vaughn Monroe,You Do,1947
28,Guy Lombardo,Anniversary Song,1947
29,Bing Crosby,White Christmas,1947
30,Dinah Shore,Anniversary Song,1947
31,Mills Brothers,Across The Alley From The Alamo,1947
32,Andrews Sisters and Danny Kaye,Civilization Bongo Bongo Bongo,1947
33,Kay Kyser,The Old Lamplighter,1947
34,Art Lund,Peg O' My Heart,1947
35,Count Basie,"Open The Door, Richard",1947
36,Margaret Whiting,You Do,1947
37,Dorothy Shay,Feudin' And Fightin',1947
38,Charlie Spivak,Linda,1947
39,Guy Lombardo,"Managua, Nicaragua",1947
40,Tex Beneke and The Glenn Miller Orchestra,Anniversary Song,1947
41,Bing Crosby,The Whiffenpoof Song,1947
42,Vaughn Monroe,How Soon,1947
43,Dusty Fletcher,"Open The Door, Richard",1947
44,Eddy Howard,I Love You For Sentimental Reasons,1947
45,Peggy Lee,Golden Earrings,1947
46,Kay Kyser,Ole Buttermilk Sky,1947
47,Pee Wee Hunt,Twelfth Street Rag,1948
48,Peggy Lee,Manana,1948
49,Bing Crosby,Now Is The Hour,1948
50,Margaret Whiting,A Tree In The Meadow,1948
51,Jon and Sondra Steele,My Happiness,1948
52,Ken Griffin and Jerry Wayne,"You Can't Be True, Dear",1948
53,Dick Haymes,Little White Lies,1948
54,Al Trace,You Call Everybody Darlin',1948
55,Pied Pipers,My Happiness,1948
56,Art Mooney,I'm Looking Over A Four Leaf Clover,1948
57,Doris Day,It's Magic,1948
58,Gordon Jenkins,Maybe You'll Be There,1948
59,Vaughn Monroe,Ballerina,1948
60,King Cole Trio,Nature Boy,1948
61,Kay Kyser,Woody Woodpecker,1948
62,Doris Day and Buddy Clark,Love Somebody,1948
63,Gracie Fields,Now Is The Hour,1948
64,Francis Craig,Beg Your Pardon,1948
65,Ken Griffin,"You Can't Be True, Dear",1948
66,Andrews Sisters,Toolie Oolie Doolie,1948
67,Dinah Shore,Buttons and Bows,1948
68,Peggy Lee,Golden Earrings,1948
69,Art Mooney,Baby Face,1948
70,Arthur Godfrey,Too Fat Polka,1948
71,Ella Fitzgerald,My Happiness,1948
72,Perry Como,Because,1948
73,Sammy Kaye,Serenade Of The Bells,1948
74,Tommy Dorsey,Until,1948
75,Spike Jones,William Tell Overture,1948
76,Frankie Carle,Beg Your Pardon,1948
77,Tex Beneke,St. Louis Blues March,1948
78,Primo Scala,Underneath The Arches,1948
79,Kay Kyser,On a Slow Boat to China,1948
80,Sportsmen and Mel Blanc,Woody Woodpecker,1948
81,Ray Noble,I'll Dance at Your Wedding,1948
82,Freddy Martin,The Dickey-Bird Song,1948
83,Russ Morgan and Milt Herth,I'm Looking Over A Four Leaf Clover,1948
84,Vaughn Monroe,How Soon,1948
85,Jo Stafford,Serenade Of The Bells,1948
86,Vaughn Monroe,Riders In The Sky,1949
87,Frankie Laine,That Lucky Old Sun,1949
88,Vic Damone,You're Breaking My Heart,1949
89,Perry Como,Some Enchanted Evening,1949
90,Jimmy  Wakely and Margaret Whiting,Slipping Around,1949
91,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",1949
92,Russ Morgan,Cruising Down the River,1949
93,Evelyn Knight,A Little Bird Told Me,1949
94,Frankie Laine,Mule Train,1949
95,Al Morgan,Jealous Heart,1949
96,Blue Barron,Cruising Down The River,1949
97,Vaughn Monroe,Someday,1949
98,Gordon Jenkins,Again,1949
99,Russ Morgan,Forever and Ever,1949
100,Perry Como,Forever and Ever,1949
101,Gordon Jenkins,"Don't Cry, Joe",1949
102,Sammy Kaye,Room Full Of Roses,1949
103,Bing Crosby,Far Away Places,1949
104,Dinah Shore,Buttons and Bows,1949
105,Bing Crosby,Galway Bay,1949
106,Vaughn Monroe,Red Roses For A Blue Lady,1949
107,Russ Morgan,So Tired,1949
108,Evelyn Knight,Powder Your Face With Sunshine,1949
109,Johnny Mercer and Margaret Whiting,"Baby, It's Cold Outside",1949
110,Jo Stafford and Gordon MacRae,Whispering Hope,1949
111,Sammy Kaye,Careless Hands,1949
112,Perry Como and The Fontane Sisters,'A' You're Adorable,1949
113,Dick Haymes,Maybe It's Because,1949
114,Tommy Dorsey and Charlie Shavers,The Hucklebuck,1949
115,Gordon Jenkins,I Don't See Me In Your Eyes Any More,1949
116,Gordon Jenkins and The Weavers,Goodnight Irene,1950
117,Nat King Cole,Mona Lisa,1950
118,Anton Karas,Third Man Theme,1950
119,Gary and Bing Crosby,Sam's Song,1950
120,Gary and Bing Crosby,Simple Melody,1950
121,Teresa Brewer,"Music, Music, Music",1950
122,Guy Lombardo,Third Man Theme,1950
123,Red Foley,Chattanoogie Shoe Shine Boy,1950
124,Sammy Kaye,Harbor Lights,1950
125,Sammy Kaye and Don Cornell,It Isn't Fair,1950
126,Eileen Barton,If I Knew You Were Coming I'd've Baked A Cake,1950
127,Kay Starr,Bonaparte's Retreat,1950
128,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",1950
129,Tony Martin,There's No Tomorrow,1950
130,Phil Harris,The Thing,1950
131,Ames Brothers,Sentimental Me,1950
132,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,1950
133,Patti Page,Tennessee Waltz,1950
134,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",1950
135,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free,1950
136,Patti Page,All My Love,1950
137,Gordon Jenkins,My Foolish Heart,1950
138,Ames Brothers,Rag Mop,1950
139,Bill Snyder,Bewitched,1950
140,Perry Como,Hoop-Dee-Doo,1950
141,Gordon Jenkins,Bewitched,1950
142,Ames Brothers,Can Anyone Explain?,1950
143,Billy Eckstine,My Foolish Heart,1950
144,Bing Crosby,Dear Hearts And Gentle People,1950
145,Frankie Laine,Cry Of The Wild Goose,1950
146,Nat King Cole,Too Young,1951
147,Tony Bennett,Because Of You,1951
148,Les Paul and Mary Ford,How High The Moon,1951
149,Rosemary Clooney,Come On-a My House,1951
150,Mario Lanza,Be My Love,1951
151,Weavers,On Top Of Old Smoky,1951
152,Tony Bennett,"Cold, Cold Heart",1951
153,Perry Como,If,1951
154,Mario Lanza,Loveliest Night Of The Year,1951
155,Patti Page,Tennessee Waltz,1951
156,Frankie Laine,Jezebel,1951
157,Tony Martin,I Get Ideas,1951
158,Les Paul and Mary Ford,Mockin' Bird Hill,1951
159,Patti Page,Mockin' Bird Hill,1951
160,Guy Mitchell and Mitch Miller,My Heart Cries For You,1951
161,Eddy Howard,(It's No) Sin,1951
162,Vaughn Monroe,Sound Off,1951
163,Dinah Shore,Sweet Violets,1951
164,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,1951
165,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",1951
166,Four Aces and Al Alberta,(It's No) Sin,1951
167,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon,1951
168,Frankie Laine,"Rose, Rose I Love You",1951
169,Del Wood,Down Yonder,1951
170,Billy Eckstine,I Apologize,1951
171,Patti Page,Would I Love You,1951
172,Perry Como and The Fontane Sisters,You're Just In Love,1951
173,Ames Brothers and Les Brown,Undecided,1951
174,Phil Harris,The Thing,1951
175,Les Baxter,Because Of You,1951
176,Leroy Anderson,Blue Tango,1952
177,Kay Starr,Wheel Of Fortune,1952
178,Johnnie Ray,Cry,1952
179,Jo Stafford,You Belong To Me,1952
180,Vera Lynn,"Auf Wiederseh'n, Sweetheart",1952
181,Rosemary Clooney,Half As Much,1952
182,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952
183,Patti Page,I Went To Your Wedding,1952
184,Al Martino,Here In My Heart,1952
185,Percy Faith,Delicado,1952
186,Georgia Gibbs,Kiss Of Fire,1952
187,Eddie Fisher and Hugo Winterhalter,Anytime,1952
188,Four Aces,Tell Me Why,1952
189,Ella Mae Morse,Blacksmith Blues,1952
190,Jo Stafford,Jambalaya,1952
191,Rosemary Clooney,Botch-a-me,1952
192,Doris Day,A Guy Is A Guy,1952
193,Johnnie Ray,The Little White Cloud That Cried,1952
194,Frankie Laine,High Noon,1952
195,Eddie Fisher and Hugo Winterhalter,I'm Yours,1952
196,Mills Brothers,Glow Worm,1952
197,Johnny Standley,It's In The Book,1952
198,Pee Wee King,Slow Poke,1952
199,Johnnie Ray,Walkin' My Baby Back Home,1952
200,Les Paul,Meet Mr. Callaghan,1952
201,Don Cornell,I'm Yours,1952
202,Don Cornell,I'll Walk Alone,1952
203,Eddie Fisher and Hugo Winterhalter,Tell Me Why,1952
204,Hilltoppers,Trying,1952
205,Johnnie Ray,"Please, Mr. Sun",1952
206,Percy Faith,Song From Moulin Rouge,1953
207,Les Paul and Mary Ford,Vaya Con Dios,1953
208,Patti Page,Doggie In The Window,1953
209,Eddie Fisher,I'm Walking Behind You,1953
210,Ames Brothers,"You, You, You",1953
211,Teresa Brewer,Till I Waltz Again With You,1953
212,Les Baxter,April In Portugal,1953
213,Perry Como,No Other Love,1953
214,Perry Como,Don't Let The Stars Get In Your Eyes,1953
215,Frankie Laine,I Believe,1953
216,Pee Wee Hunt,Oh,1953
217,Frank Chacksfield,Ebb Tide,1953
218,Nat King Cole,Pretend,1953
219,Richard Hayman,Ruby,1953
220,Stan Freberg,St. George And The Dragonet,1953
221,Hilltoppers,P.S. I Love You,1953
222,Gaylords,Tell Me You're Mine,1953
223,Julius La Rosa,Eh Cumpari,1953
224,Tony Bennett,Rags To Riches,1953
225,Silvana Mangano,Anna,1953
226,Perry Como,Say You're Mine Again,1953
227,Ray Anthony,Dragnet,1953
228,Frankie Laine and Jimmy Boyd,Tell Me A Story,1953
229,June Valli,Crying In The Chapel,1953
230,Joni James,Why Don't You Believe Me,1953
231,Joni James,Your Cheating Heart,1953
232,Frank Chacksfield,Limelight (Terry's Theme),1953
233,Eddie Fisher,With These Hands,1953
234,Eartha Kitt,C'est Si Bon,1953
235,Joni James,Have You Heard?,1953
236,Kitty Kallen,Little Things Mean A Lot,1954
237,Perry Como,Wanted,1954
238,Rosemary Clooney,Hey There,1954
239,Crew Cuts,Sh-Boom,1954
240,Jo Stafford,Make Love To Me,1954
241,Eddie Fisher,Oh! My Pa-pa,1954
242,Four Knights,I Get So Lonely,1954
243,Four Aces,Three Coins In The Fountain,1954
244,Doris Day,Secret Love,1954
245,Archie Bleyer,Hernando's Hideaway,1954
246,Frank Sinatra,Young At Heart,1954
247,Rosemary Clooney,This Ole House,1954
248,Eddie Fisher,I Need You Now,1954
249,Patti Page,Cross Over The Bridge,1954
250,Gaylords,The Little Shoemaker,1954
251,Dean Martin,That's Amore,1954
252,Frank Weir,The Happy Wanderer,1954
253,Nat King Cole,Answer Me My Love,1954
254,Tony Bennett,Stranger In Paradise,1954
255,Doris Day,If I Give My Heart To You,1954
256,Kay Starr,If You Love Me (Really Love Me),1954
257,Ralph Marterie,Skokiaan,1954
258,Don Cornell,Hold My Hand,1954
259,Patti Page,Changing Partners,1954
260,Perry Como,Papa Loves Mambo,1954
261,Bill Haley and His Comets,"Shake, Rattle And Roll",1954
262,Tony Bennett,Rags To Riches,1954
263,Kitty Kallen,In The Chapel In The Moonlight,1954
264,Four Aces,Stranger In Paradise,1954
265,Tony Martin,Here,1954
266,Perez Prado,Cherry Pink And Apple Blossom White,1955
267,Bill Haley and His Comets,Rock Around The Clock,1955
268,Mitch Miller,The Yellow Rose Of Texas,1955
269,Roger Williams,Autumn Leaves,1955
270,Les Baxter,Unchained Melody,1955
271,Bill Hayes,The Ballad Of Davy Crockett,1955
272,Four Aces,Love Is A Many Splendored Thing,1955
273,McGuire Sisters,Sincerely,1955
274,Pat Boone,Ain't That A Shame,1955
275,Georgia Gibbs,Dance With Me Henry,1955
